year,filename,perplexity
1983,1983_Thinktank_CR_CFR_57.txt_chunk24,144.294189453125
1983,1983_Thinktank_CR_CFR_57.txt_chunk23,77.0219497680664
1983,1983_Thinktank_CR_CFR_57.txt_chunk22,86.04375457763672
1983,1983_Thinktank_CR_CFR_57.txt_chunk21,80.66544342041016
1983,1983_Thinktank_CR_CFR_57.txt_chunk20,134.8872833251953
1983,1983_Thinktank_CR_CFR_57.txt_chunk19,118.00755310058594
1983,1983_Thinktank_CR_CFR_57.txt_chunk18,123.43749237060547
1983,1983_Thinktank_CR_CFR_57.txt_chunk17,112.22793579101562
1983,1983_Thinktank_CR_Heritage_22.txt_chunk2,79.41813659667969
1983,1983_Thinktank_CR_Heritage_20.txt_chunk3,112.32907104492188
1983,1983_Thinktank_CR_Heritage_20.txt_chunk2,37.50172805786133
1983,1983_Thinktank_CR_Heritage_20.txt_chunk1,42.36522674560547
1983,1983_Thinktank_CR_Heritage_2.txt_chunk0,52.49797821044922
1983,1983_Thinktank_CR_Heritage_20.txt_chunk0,24.269956588745117
1983,1983_Thinktank_CR_CFR_38.txt_chunk1,131.6443634033203
1983,1983_Thinktank_CR_CFR_38.txt_chunk0,67.14934539794922
1983,1983_Thinktank_CR_Heritage_22.txt_chunk0,104.90425109863281
1983,1983_Thinktank_CR_Heritage_22.txt_chunk3,72.39635467529297
1983,1983_Thinktank_CR_Heritage_22.txt_chunk1,92.60050201416016
1985,1985_Thinktank_CR_AEI_66.txt_chunk8,94.6758041381836
1985,1985_Thinktank_CR_AEI_66.txt_chunk25,77.44986724853516
1985,1985_Thinktank_CR_AEI_66.txt_chunk9,113.60781860351562
1985,1985_Thinktank_CR_AEI_66.txt_chunk10,126.85252380371094
1985,1985_Thinktank_CR_AEI_66.txt_chunk11,152.96893310546875
1985,1985_Thinktank_CR_AEI_66.txt_chunk12,153.68453979492188
1985,1985_Thinktank_CR_AEI_66.txt_chunk18,62.5533447265625
1985,1985_Thinktank_CR_AEI_66.txt_chunk19,75.42535400390625
1985,1985_Thinktank_CR_AEI_66.txt_chunk20,98.22579193115234
1985,1985_Thinktank_CR_AEI_66.txt_chunk21,120.76858520507812
1985,1985_Thinktank_CR_AEI_66.txt_chunk29,82.72920227050781
1985,1985_Thinktank_CR_CFR_48.txt_chunk17,77.54228210449219
1985,1985_Thinktank_CR_CFR_63.txt_chunk0,140.1622314453125
1985,1985_Thinktank_CR_AEI_66.txt_chunk28,71.39249420166016
1985,1985_Thinktank_CR_AEI_66.txt_chunk27,79.35783386230469
1985,1985_Thinktank_CR_AEI_66.txt_chunk26,83.5186767578125
1985,1985_Thinktank_CR_AEI_66.txt_chunk22,122.63555145263672
1985,1985_Thinktank_CR_AEI_66.txt_chunk23,48.754390716552734
